param:,ELECTRICITY,GASOLINE,DIESEL,LFO,GAS,WOOD,WET_BIOMASS,COAL,URANIUM,WASTE,H2,AMMONIA,METHANOL,HEAT_HIGH_T,HEAT_LOW_T_DHN,HEAT_LOW_T_DECEN,MOB_PUBLIC,MOB_PRIVATE,MOB_FREIGHT_RAIL,MOB_FREIGHT_ROAD,MOB_FREIGHT_BOAT,RES_WIND,RES_SOLAR,RES_HYDRO,RES_GEO,CO2_ATM,CO2_INDUSTRY,CO2_CAPTURED
URANIUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
WASTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
H2_RE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
AMMONIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
METHANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
AMMONIA_RE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
METHANOL_RE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
ELEC_EXPORT,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
CO2_EMISSIONS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0
RES_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
RES_SOLAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
RES_HYDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
RES_GEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
CO2_ATM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
CO2_INDUSTRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
CO2_CAPTURED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
NUCLEAR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
CCGT,1.0,0.0,0.0,0.0,-1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.0
CCGT_AMMONIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
COAL_US,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.0
COAL_IGCC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.0
PV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,0,0,0,0.0,0.0
WIND_ONSHORE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-1,0,0,0,0,0.0,0.0
WIND_OFFSHORE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-1,0,0,0,0,0.0,0.0
HYDRO_RIVER,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-1,0,0,0.0,0.0
GEOTHERMAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0.0,0.0
IND_COGEN_GAS,0.96,0.0,0.0,0.0,-2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.0
IND_COGEN_WOOD,0.34,0.0,0.0,0.0,0.0,-1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.0
IND_COGEN_WASTE,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.22,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.0
IND_BOILER_GAS,0.0,0.0,0.0,0.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.0
IND_BOILER_WOOD,0.0,0.0,0.0,0.0,0.0,-1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.0
IND_BOILER_OIL,0.0,0.0,0.0,-1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
IND_BOILER_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.0
IND_BOILER_WASTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.0
IND_DIRECT_ELEC,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DHN_HP_ELEC,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DHN_COGEN_GAS,1.25,0.0,0.0,0.0,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0
DHN_COGEN_WOOD,0.34,0.0,0.0,0.0,0.0,-1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.0
DHN_COGEN_WASTE,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.22,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.0
DHN_COGEN_WET_BIOMASS,0.83,0.0,0.0,0.0,0.0,0.0,-6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,2.49,0.0
DHN_COGEN_BIO_HYDROLYSIS,0.76,0.0,0.0,0.0,0.0,0.0,-2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.16,0.0
DHN_BOILER_GAS,0.0,0.0,0.0,0.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.0
DHN_BOILER_WOOD,0.0,0.0,0.0,0.0,0.0,-1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.0
DHN_BOILER_OIL,0.0,0.0,0.0,-1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
DHN_DEEP_GEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,-1,0,0.0,0.0
DHN_SOLAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,-1,0,0,0,0.0,0.0
DEC_HP_ELEC,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DEC_THHP_GAS,0.0,0.0,0.0,0.0,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DEC_COGEN_GAS,0.96,0.0,0.0,0.0,-2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DEC_COGEN_OIL,0.91,0.0,0.0,-2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DEC_ADVCOGEN_GAS,2.64,0.0,0.0,0.0,-4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DEC_ADVCOGEN_H2,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.55,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DEC_BOILER_GAS,0.0,0.0,0.0,0.0,-1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DEC_BOILER_WOOD,0.0,0.0,0.0,0.0,0.0,-1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DEC_BOILER_OIL,0.0,0.0,0.0,-1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DEC_SOLAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,-1,0,0,0,0.0,0.0
DEC_DIRECT_ELEC,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
TRAMWAY_TROLLEY,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
BUS_COACH_DIESEL,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
BUS_COACH_HYDIESEL,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
BUS_COACH_CNG_STOICH,0.0,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
BUS_COACH_FC_HYBRIDH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
TRAIN_PUB,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
CAR_GASOLINE,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
CAR_DIESEL,0.0,0.0,-0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
CAR_NG,0.0,0.0,0.0,0.0,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
CAR_METHANOL,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
CAR_HEV,0.0,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
CAR_PHEV,-0.14,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
CAR_BEV,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
CAR_FUEL_CELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
TRAIN_FREIGHT,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
BOAT_FREIGHT_DIESEL,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
BOAT_FREIGHT_NG,0.0,0.0,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
BOAT_FREIGHT_METHANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
TRUCK_DIESEL,0.0,0.0,-0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
TRUCK_METHANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.59,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
TRUCK_FUEL_CELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
TRUCK_ELEC,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
TRUCK_NG,0.0,0.0,0.0,0.0,-0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
EFFICIENCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DHN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
GRID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
H2_ELECTROLYSIS,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.19,0.02,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SMR,0.0,0.0,0.0,0.0,-1.36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.0
H2_BIOMASS,0.0,0.0,0.0,0.0,0.0,-2.31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0
GASIFICATION_SNG,0.0,0.0,0.0,0.0,1.0,-1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0
SYN_METHANATION,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.2,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.2
BIOMETHANATION,0.0,0.0,0.0,0.0,1.0,0.0,-3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.0
BIO_HYDROLYSIS,0.09,0.0,0.0,0.0,1.0,0.0,-2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.0
PYROLYSIS_TO_LFO,0.02,0.0,0.0,1.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.0
PYROLYSIS_TO_FUELS,0.03,1.0,0.46,0.0,0.0,-2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.0
ATM_CCS,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0.0,1.0
INDUSTRY_CCS,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.9
SYN_METHANOLATION,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,0.0,1.0,0.0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.25
METHANE_TO_METHANOL,0.0,0.0,0.0,0.0,-1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.0
BIOMASS_TO_METHANOL,0.03,0.0,0.0,0.0,0.0,-1.61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.35,0,0,0,0,0,0,0,0,0,0,0,0.38,0.0
HABER_BOSCH,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.13,1.0,0.0,0.0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
AMMONIA_TO_H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.52,0.0,-0.15,0.1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
